alchl_p_2_asr,lga_code,hbld_pres_2_asr,ovrwgt_p_2_asr,lw_excse_2_asr,psych_dstrs_2_asr,smkrs_p_2_asr,obese_p_2_asr,wst_meas_p_2_asr
24.9,20110,22,36,71.5,10.1,19,34.1,65.7
18.3,20260,20.5,35.7,72.8,13.2,20.8,32.6,67.9
17.7,20570,24,35.6,67.4,14.7,18,33.8,66.4
16.6,20660,21.5,38.6,62,10.7,13.8,22.9,59.8
17.8,20740,17.7,35.9,66.7,13.3,21.9,31,64.4
17.3,20830,22.6,34.9,70.1,12.4,19.6,32.7,67.4
20.5,20910,16.6,38.4,55.2,7.3,11.1,17.7,54.3
17.5,21010,22.3,35.7,70.3,12.9,21.2,31.2,65
15.6,21110,19.3,38.6,54.6,7.3,8.8,14.5,52.1
8.6,21180,29.2,37.5,72.8,15.9,17.3,27.4,60.1
19.2,21270,19.3,35.6,74.8,9.5,20.4,32.4,68.5
19.6,21370,20.6,35.3,72.4,13.9,21.7,33,66.9
15.9,21450,22.5,38.8,66.6,14,18.3,32.4,65.2
11.6,21610,25,38.4,69.7,14.9,16.9,32.2,63.2
16.9,21670,23.9,35.1,71.6,17.6,22.8,36.1,65
19.3,21750,24.6,35.5,72.4,12.3,20.7,31.3,66.7
21.3,21830,21.3,36.5,75.2,10.9,19.4,33.3,70
12.9,21890,28.4,37.8,65.7,13.4,15.4,23.9,60.4
19.3,22110,18.5,35.3,68.5,10.7,22.3,33.9,64.5
16,22170,24,37.9,66.5,15,20.2,30.8,62.9
19.2,22250,19.3,35.6,74.8,9.5,20.4,32.4,68.5
14.2,22310,22.2,38.2,58.5,10,9.8,18.6,57
17.5,22410,33.7,36.5,73.5,10.9,22.6,32.5,66.8
21.1,22490,23.6,36.4,69.8,12.3,17.5,35.4,67.2
18.3,22620,21.6,35.4,68.3,14.5,18.1,34.2,65.4
6.5,22670,29.5,36.9,73.4,16.7,16.4,26.3,59.3
17.3,22750,22.4,35.3,62.8,14.1,19.4,29.2,65.3
15.9,22830,20.4,34.3,69.4,15.5,19.9,34.4,68
19.7,22910,16.9,35.8,67.9,12.9,18.7,33.3,64.8
18.9,22980,24.3,36.6,76.9,9.4,18.9,33,69.7
14.6,23110,27.3,38.6,65.6,12.7,16.6,24.9,61
19.7,23190,23.5,34.4,70,10.3,16.1,32.2,66.9
9.8,23270,25.8,37.8,71.9,15.3,18.9,33.3,64.8
22.9,23350,25.1,36.6,69.8,11.6,18,32.7,66.1
14.5,23430,22.9,38.5,64.9,11.8,15,24.8,59.6
14.4,23670,22.9,38.4,65.9,11.6,14.3,24.5,58.7
14.7,23810,27.7,35,69.8,16.8,19.4,33.8,66.4
21.6,23940,21.6,35.3,77.4,10.9,21.1,34.8,69.5
18.2,24130,21,38.3,62.8,10.5,14.3,29.6,63.9
12.2,24210,18.4,38.4,62.2,8.3,9.6,19.1,56.1
22.1,24250,24.7,35,65.2,8.7,18,33.9,64
12.1,24330,32.5,37.9,65,13.2,15.7,21.9,59.1
16.7,24410,23.7,38.3,64.6,12.2,15,26.3,62.3
16,24600,43.1,33,58.2,10.8,10.1,15.3,47.7
11.1,24650,23.9,38.8,68.5,15.5,17.8,35.6,67
17.1,24780,17.7,34.3,71.7,12.7,21.7,35.6,67.5
17.3,24850,22.4,36.5,68.8,13.6,20.6,33.6,65.8
18.9,24900,24,35.5,72.3,13.5,22.4,34.6,67.2
11.6,24970,20.3,37.4,64.7,10.1,10.2,19.7,56.5
14.9,25060,22.2,38.6,62.2,11.6,13.8,24.4,59.3
17.3,25150,21.9,37.8,67.6,13.1,18.5,35.1,65.3
13.2,25250,31.7,38,64.4,13.2,14.3,24.2,62
18.9,25340,20.8,38.2,62.4,11.2,17.3,27.4,61
22.6,25430,18.6,35.6,67.1,12.8,18.3,32.1,62.8
23.1,25490,24.1,37.4,76.3,9,18.2,34.3,71.9
21.4,25620,21.3,37,69.6,12.3,19.8,32.7,65.1
18,25710,22.9,39.5,57.6,8.8,12.1,22.8,60.1
18.4,25810,21.3,35.2,71,15.5,22.6,33.5,66.3
19.6,25900,31.9,36.6,52.9,10.4,12.4,17.4,55.4
19.7,25990,20.9,36,73,14.7,22,35.6,66.3
18.4,26080,15.9,36.5,61.7,9.7,12.8,26.5,66.7
24.1,26170,27.6,36.1,71.8,11.2,19.2,31.2,67.9
20.1,26260,24,35.9,71.7,10.6,18,29.3,67.8
18.6,26350,24.7,37.4,52.5,8.5,10.3,15.5,52.6
22.7,26430,18.7,35.5,71.7,11.7,20,35.1,66
21.7,26490,17.5,36.4,61.9,9.7,16,27.3,65.3
19.9,26610,20.3,34.9,73.7,10.9,22.5,33,70.4
27.6,26670,20.6,36.2,70.3,8.4,18.1,32.9,66
21.1,26700,24.5,35,69.2,13.6,17.4,32.6,66.1
16.7,26730,21.4,35.5,67.3,12.9,17.6,32.5,65.7
19.5,26810,22.5,35.1,71.1,13.2,19.9,34.8,67.6
18.9,26890,24.3,36.6,76.9,9.3,18.9,33,69.7
13.4,26980,23,37.7,63,9.8,10.8,19.5,56.4
10,27070,24.1,38.5,70.2,15,16.1,30.8,64.2
16.7,27170,25.1,35.2,66.9,14.3,19,34.8,68.6
11,27260,22,38.9,68.1,14.8,15.7,31.5,66.6
21.3,27350,36.4,37,56.8,10.7,13.7,16.3,52.7
19.8,27450,23.7,38.5,63.1,12.2,17.5,27.1,61.8
18.9,27630,24.3,36.6,76.9,9.4,18.9,33,69.7
null,29399,null,null,null,null,null,null,null
