lw_excse_4_asr_uci, lga_code, hbld_pres_2_asr, ovrwgt_p_2_asr, obese_p_2_asr
78.4,20110,22.0,36.0,34.1
81.2,20260,20.5,35.7,32.6
71.2,20570,24.0,35.6,33.8
65.8,20660,21.5,38.6,22.9
72.3,20740,17.7,35.9,31.0
75.6,20830,22.6,34.9,32.7
59.8,20910,16.6,38.4,17.7
76.8,21010,22.3,35.7,31.2
58.6,21110,19.3,38.6,14.5
75.4,21180,29.2,37.5,27.4
85.3,21270,19.3,35.6,32.4
77.2,21370,20.6,35.3,33.0
71.4,21450,22.5,38.8,32.4
72.1,21610,25.0,38.4,32.2
77.5,21670,23.9,35.1,36.1
77.6,21750,24.6,35.5,31.3
82.1,21830,21.3,36.5,33.3
69.3,21890,28.4,37.8,23.9
73.7,22110,18.5,35.3,33.9
70.2,22170,24.0,37.9,30.8
83.0,22250,19.3,35.6,32.4
62.9,22310,22.2,38.2,18.6
80.1,22410,33.7,36.5,32.5
76.6,22490,23.6,36.4,35.4
71.5,22620,21.6,35.4,34.2
76.6,22670,29.5,36.9,26.3
65.5,22750,22.4,35.3,29.2
74.3,22830,20.4,34.3,34.4
73.9,22910,16.9,35.8,33.3
87.8,22980,24.3,36.6,33.0
69.5,23110,27.3,38.6,24.9
76.3,23190,23.5,34.4,32.2
74.9,23270,25.8,37.8,33.3
74.4,23350,25.1,36.6,32.7
68.5,23430,22.9,38.5,24.8
69.7,23670,22.9,38.4,24.5
74.4,23810,27.7,35.0,33.8
83.7,23940,21.6,35.3,34.8
67.4,24130,21.0,38.3,29.6
66.2,24210,18.4,38.4,19.1
74.2,24250,24.7,35.0,33.9
69.4,24330,32.5,37.9,21.9
68.8,24410,23.7,38.3,26.3
62.3,24600,43.1,33.0,15.3
72.7,24650,23.9,38.8,35.6
76.6,24780,17.7,34.3,35.6
73.8,24850,22.4,36.5,33.6
77.4,24900,24.0,35.5,34.6
68.3,24970,20.3,37.4,19.7
66.1,25060,22.2,38.6,24.4
73.7,25150,21.9,37.8,35.1
68.0,25250,31.7,38.0,24.2
65.6,25340,20.8,38.2,27.4
74.7,25430,18.6,35.6,32.1
85.2,25490,24.1,37.4,34.3
77.0,25620,21.3,37.0,32.7
62.8,25710,22.9,39.5,22.8
80.5,25810,21.3,35.2,33.5
57.9,25900,31.9,36.6,17.4
82.0,25990,20.9,36.0,35.6
84.2,26080,15.9,36.5,26.5
78.8,26170,27.6,36.1,31.2
78.6,26260,24.0,35.9,29.3
57.9,26350,24.7,37.4,15.5
81.5,26430,18.7,35.5,35.1
69.2,26490,17.5,36.4,27.3
79.6,26610,20.3,34.9,33.0
81.8,26670,20.6,36.2,32.9
75.0,26700,24.5,35.0,32.6
75.2,26730,21.4,35.5,32.5
75.6,26810,22.5,35.1,34.8
89.6,26890,24.3,36.6,33.0
66.4,26980,23.0,37.7,19.5
73.7,27070,24.1,38.5,30.8
74.8,27170,25.1,35.2,34.8
71.4,27260,22.0,38.9,31.5
61.7,27350,36.4,37.0,16.3
66.5,27450,23.7,38.5,27.1
86.7,27630,24.3,36.6,33.0
null,29399,null,null,null
