fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, facility_id, postcode, facilityage, streettype, changerooms, longitude, latitude, faciltysportplayedid, objectid, suburbtown, lga, streetname
null,null,"BMX","Lilydale BMX Club",null,null,null,"YARRAC5444",null,null,"Street",null,145.35670599995,-37.7481569988831,27698,9060,"LILYDALE","YARRA RANGES","Anderson"
null,"115","Fitness / Gymnasium Workouts","Nitro Gym",1,null,null,"YARRAR11444",3137,null,"Road",null,145.259467000403,-38.0053919988504,18548,9289,"KILSYTH","CASEY","Canterbury"
null,null,"Tennis (Outdoor)","Minak Reserve",4,"3. Average","6 - 10 Years","YARRAR11484",3159,"26 - 50 Years","Road",null,145.37278100054,-37.9125899990689,18634,9374,"SELBY","YARRA RANGES","Wombalana"
null,null,"Equestrian","Truganina Club Grounds",null,null,null,"HOBSON11346",3029,null,"Road",null,144.721687999976,-37.8224829992994,26854,3952,"TRUGANINA","WYNDHAM","Woods"
"Turf Pitch",null,"Cricket","Binnak Park",1,null,null,"BANYUL12800",3083,null,"Parade",null,145.080914999471,-37.697331998711,21290,387,"BUNDOORA","BANYULE","Anderson"
null,null,"Sailing","Cowes Yacht Club",null,null,null,"BASSCO11215",3922,null,"Avenue",null,145.233400000018,-38.4490209991763,26756,554,"COWES","BASS COAST","Osborne"
"Synthetic Pitch",null,"Cricket","George Woods Reserve",1,null,null,"KINGST10946",3195,null,"Road",null,145.09837899999,-38.0092119993734,25460,4383,"MORDIALLOC","KINGSTON","Governor"
null,"52","Gymnastics","Cheltnam Youth Club",null,null,null,"KINGST11451",3195,null,"Drive",null,145.114715999686,-37.9897699990324,27332,4433,"BRAESIDE","KINGSTON","Tarnard"
"Wooden Gymnasium","221","Badminton","Deakin YMCA",2,null,null,"WHITEH11007",3125,null,"Hwy",null,145.116445999725,-37.8469499992008,25074,8574,"BURWOOD","WHITEHORSE","Burwood"
"Hard Court",null,"Tennis (Outdoor)","Eley Park",8,"3. Average","11 + Years","WHITEH11009",3151,"26 - 50 Years","Road","Female, Male",145.143021999899,-37.8463089991135,25086,8689,"BURWOOD EAST","WHITEHORSE","Eley"
"Grass",null,"Baseball","Marshall Reserve",1,null,null,"MONASH12036",3166,null,"Road",null,145.138854000283,-37.912046999323,19780,6094,"HUNTINGDALE","MONASH","Ring East"
null,"9","Karate","Keenan karate Centre",1,null,null,"MONASH12031",3149,null,"Road",null,145.114414999907,-37.8563989986846,19771,6182,"MT WAVERLEY","MONASH","Barlyn"
null,"507-515","Squash / Racquetball","Fitzys Gym",null,null,null,"MORELA13022",3055,null,"Street",null,144.945367000411,-37.7649359990146,21862,6548,"BRUNSWICK WEST","MORELAND","Victoria"
"Grass","1562","Baseball","Tyabb Central Reserve",1,null,null,"MORNIN11204",3913,null,"Road",null,145.188857000283,-38.2621929989547,18266,6599,"TYABB","MORNINGTON PENINSULA","Frankston-Flinders"
"Road",null,"Cycling","Somers Circuit",1,null,null,"MORNIN5311",null,null,"Road",null,145.165860000389,-38.3891729993849,27559,6645,null,"MORNINGTON PENINSULA","Camphill"
null,null,"Cycling","Wombat Track",null,null,null,"MACEDO5423",null,null,null,null,144.479613000026,-37.4266159989192,27679,5027,null,"MACEDON RANGES",null
null,null,"Equestrian","Buck Reserve",null,null,null,"MANNIN11361",3111,null,"Road",null,145.186757000266,-37.7664919989868,26888,5152,"DONVALE","MANNINGHAM","Reynolds"
null,"5-15","Fitness / Gymnasium Workouts","Contours Croydon",null,null,null,"MAROON11005",3136,null,"Avenue",null,145.277688999931,-37.79358199889,23181,5434,"CROYDON","MAROONDAH","Kent"
"Synthetic",null,"Basketball","Eynesbury Tennis Centre",1,null,null,"MELTON10915",3338,null,"Road",null,144.562904999527,-37.7672399991982,24724,5638,"EYNESBURY","MELTON","Eynesbury"
null,"65","Volleyball","Melton Indoor Sports Stadium",null,null,null,"MELTON9071",3337,null,"Road",null,144.5678269996,-37.6814989989577,24793,5730,"MELTON","MELTON","Reserve"
null,null,"BMX","Broadford BMX Track",null,null,null,"MITCHE11203",3658,null,"Parade",null,145.05682999977,-37.1994669987397,24059,5872,"BROADFORD","MITCHELL","The"
"Hard Court",null,"Netball","Werribee Sports & Fitness Centre",5,"4. Good",null,"WYNDHA8530",3030,null,"Road","Female, Male",144.640316000408,-37.898600998879,26686,9001,"WERRIBEE","WYNDHAM","Ballan"
null,null,"Netball (indoor)","Hoppers Indoor Sportz",2,null,null,"WYNDHA11288",3029,null,"Court",null,144.727499999839,-37.8719999986371,26982,9002,"HOPPERS CROSSING","WYNDHAM","Graham"
"Carpet Playing Surface","13","Netball (Indoor)","Riverside Indoor Sports",5,null,null,"WYNDHA8521",3030,null,"Avenue",null,144.659073999704,-37.9134919991585,26667,9003,"WERRIBEE","WYNDHAM","Riverside"
null,null,"Polo","National Equestrian Centre",2,null,null,"WYNDHA8516",3030,null,"Road",null,144.674980000132,-37.9241109986971,26653,9004,"WERRIBEE","WYNDHAM","K"
